Country or Area,Year,Quantity
Albania,2014,2.08
Albania,2011,8.9
Albania,2010,4.21
Albania,2009,11.16
Albania,2008,29.04
Albania,2007,31
Albania,2006,48
Albania,2005,68
Albania,2004,68
Albania,2003,46
Albania,2002,80
Albania,2001,42
Albania,2000,43
Albania,1999,45
Albania,1998,62
Albania,1997,91
Albania,1996,114
Albania,1995,123
Albania,1994,82
Albania,1993,106
Albania,1992,236
Albania,1991,350
Albania,1990,231
Algeria,2014,6594
Algeria,2013,5358
Algeria,2012,5115
Algeria,2011,5848
Algeria,2010,5749
Algeria,2009,5581
Algeria,2008,6009
Algeria,2007,5518
Algeria,2006,5340
Algeria,2005,5055
Algeria,2004,5560
Algeria,2003,6093
Algeria,2002,5833
Algeria,2001,5755
Algeria,2000,5526
Algeria,1999,5683
Algeria,1998,5061
Algeria,1997,5556
Algeria,1996,4983
Algeria,1995,5304
Algeria,1994,5085
Algeria,1993,5522
Algeria,1992,5700
Algeria,1991,5645
Algeria,1990,5948
Angola,2014,921
Angola,2013,815
Angola,2012,737
Angola,2011,727
Angola,2010,680
Angola,2009,671
Angola,2008,680
Angola,2007,601
Angola,2006,587
Angola,2005,609
Angola,2004,603.97
Angola,2003,609
Angola,2002,591
Angola,2001,553
Angola,2000,595
Angola,1999,646
Angola,1998,644
Angola,1997,699
Angola,1996,680
Angola,1995,638
Angola,1994,601
Angola,1993,517
Angola,1992,547
Angola,1991,655
Angola,1990,653
Argentina,2014,4617
Argentina,2013,4309
Argentina,2012,3953
Argentina,2011,3351
Argentina,2010,3653
Argentina,2009,3219
Argentina,2008,4714
Argentina,2007,4267
Argentina,2006,3422
Argentina,2005,2795
Argentina,2004,2368
Argentina,2003,1946
Argentina,2002,1803
Argentina,2001,2361
Argentina,2000,2138
Argentina,1999,2545
Argentina,1998,2445
Argentina,1997,2555
Argentina,1996,1924
Argentina,1995,2282
Argentina,1994,2748
Argentina,1993,3089
Argentina,1992,3370
Argentina,1991,3654
Argentina,1990,4239
Australia,2014,645
Australia,2013,888
Australia,2012,945
Australia,2011,954
Australia,2010,860
Australia,2009,890
Australia,2008,984
Australia,2007,952
Australia,2006,1051
Australia,2005,1085
Australia,2004,1071
Australia,2003,1310
Australia,2002,1696
Australia,2001,1886
Australia,2000,1769
Australia,1999,1592
Australia,1998,1605
Australia,1997,1808
Australia,1996,2077
Australia,1995,2476
Australia,1994,2293
Australia,1993,2567
Australia,1992,2645
Australia,1991,2611
Australia,1990,2440
Austria,2014,981
Austria,2013,1011
Austria,2012,953
Austria,2011,822
Austria,2010,815
Austria,2009,989
Austria,2008,923
Austria,2007,1061
Austria,2006,1095
Austria,2005,1200
Austria,2004,1229
Austria,2003,1147
Austria,2002,1169
Austria,2001,1209
Austria,2000,1075
Austria,1999,1463
Austria,1998,1499
Austria,1997,1565
Austria,1996,1599
Austria,1995,1596
Austria,1994,1559
Austria,1993,1678
Austria,1992,1821
Austria,1991,1981
Austria,1990,1913
Azerbaijan,2014,207
Azerbaijan,2013,285
Azerbaijan,2012,286
Azerbaijan,2011,254
Azerbaijan,2010,231
Azerbaijan,2009,287
Azerbaijan,2008,1624
Azerbaijan,2007,2949
Azerbaijan,2006,2899
Azerbaijan,2005,3061
Azerbaijan,2004,2521
Azerbaijan,2003,2470
Azerbaijan,2002,2569
Azerbaijan,2001,2648
Azerbaijan,2000,4072
Azerbaijan,1999,3871
Azerbaijan,1998,4027
Azerbaijan,1997,3868
Azerbaijan,1996,3961
Azerbaijan,1995,4220
Azerbaijan,1994,4004
Azerbaijan,1993,4930
Azerbaijan,1992,5483
Bahrain,2014,2158
Bahrain,2013,2519
Bahrain,2012,2443
Bahrain,2011,2458
Bahrain,2010,2326
Bahrain,2009,2314
Bahrain,2008,2242
Bahrain,2007,2355
Bahrain,2006,2761
Bahrain,2005,2912
Bahrain,2004,2751
Bahrain,2003,3008
Bahrain,2002,2835
Bahrain,2001,2581
Bahrain,2000,3214
Bahrain,1999,3333
Bahrain,1998,2979
Bahrain,1997,2898
Bahrain,1996,3234
Bahrain,1995,3143
Bahrain,1994,3138
Bahrain,1993,3332
Bahrain,1992,3650
Bahrain,1991,3593
Bahrain,1990,3443
Bangladesh,2014,302
Bangladesh,2013,323
Bangladesh,2012,275
Bangladesh,2011,367
Bangladesh,2010,341
Bangladesh,2009,192
Bangladesh,2008,290
Bangladesh,2007,338
Bangladesh,2006,350
Bangladesh,2005,297
Bangladesh,2004,350
Bangladesh,2003,57
Bangladesh,2002,49
Bangladesh,2001,61
Bangladesh,2000,62
Bangladesh,1999,47
Bangladesh,1998,66
Bangladesh,1997,127
Bangladesh,1996,76
Bangladesh,1995,131
Bangladesh,1994,0
Bangladesh,1993,301
Bangladesh,1992,288
Bangladesh,1991,309
Bangladesh,1990,277
Barbados,1998,0
Barbados,1997,169
Barbados,1996,165
Barbados,1995,155
Barbados,1994,143
Barbados,1993,142
Barbados,1992,131
Barbados,1991,150
Barbados,1990,152
Belarus,2014,5865
Belarus,2013,6615
Belarus,2012,7284
Belarus,2011,6407
Belarus,2010,5104
Belarus,2009,7291
Belarus,2008,6831
Belarus,2007,6195
Belarus,2006,6329
Belarus,2005,6313
Belarus,2004,5501
Belarus,2003,4790
Belarus,2002,5099
Belarus,2001,4408
Belarus,2000,4627
Belarus,1999,4305
Belarus,1998,4253
Belarus,1997,4524
Belarus,1996,4812
Belarus,1995,5592
Belarus,1994,5242
Belarus,1993,6285
Belarus,1992,9006
Belgium,2014,5512
Belgium,2013,4916
Belgium,2012,5179
Belgium,2011,5689
Belgium,2010,5543
Belgium,2009,5026
Belgium,2008,7268
Belgium,2007,7391
Belgium,2006,7128
Belgium,2005,7875
Belgium,2004,8380
Belgium,2003,8689
Belgium,2002,7603
Belgium,2001,7015
Belgium,2000,7990
Belgium,1999,6895
Belgium,1998,8042
Belgium,1997,7444
Belgium,1996,6843
Belgium,1995,4923
Belgium,1994,5379
Belgium,1993,6599
Belgium,1992,6733
Belgium,1991,7283
Belgium,1990,5636
Bolivia (Plur. State of),2014,411
Bolivia (Plur. State of),2013,376
Bolivia (Plur. State of),2012,332
Bolivia (Plur. State of),2011,416
Bolivia (Plur. State of),2010,391
Bolivia (Plur. State of),2009,338
Bolivia (Plur. State of),2008,487
Bolivia (Plur. State of),2007,528
Bolivia (Plur. State of),2006,538
Bolivia (Plur. State of),2005,531
Bolivia (Plur. State of),2004,438
Bolivia (Plur. State of),2003,454
Bolivia (Plur. State of),2002,522
Bolivia (Plur. State of),2001,441
Bolivia (Plur. State of),2000,276
Bolivia (Plur. State of),1999,285
Bolivia (Plur. State of),1998,332
Bolivia (Plur. State of),1997,286
Bolivia (Plur. State of),1996,304
Bolivia (Plur. State of),1995,273
Bolivia (Plur. State of),1994,248
Bolivia (Plur. State of),1993,214
Bolivia (Plur. State of),1992,202
Bolivia (Plur. State of),1991,210
Bolivia (Plur. State of),1990,197
Bosnia and Herzegovina,2014,143
Bosnia and Herzegovina,2013,116
Bosnia and Herzegovina,2012,176
Bosnia and Herzegovina,2011,218
Bosnia and Herzegovina,2010,257
Bosnia and Herzegovina,2009,338
Bosnia and Herzegovina,2008,54
Bosnia and Herzegovina,2007,0
Bosnia and Herzegovina,2006,0
Bosnia and Herzegovina,2005,74
Bosnia and Herzegovina,2004,78
Bosnia and Herzegovina,2003,36
Bosnia and Herzegovina,2002,115
Bosnia and Herzegovina,2001,114
Bosnia and Herzegovina,2000,215
Brazil,2014,16010
Brazil,2013,14618
Brazil,2012,13747
Brazil,2011,13289
Brazil,2010,14115
Brazil,2009,14386
Brazil,2008,15553
Brazil,2007,15707
Brazil,2006,15661
Brazil,2005,15461
Brazil,2004,16074
Brazil,2003,15779
Brazil,2002,16925
Brazil,2001,17797
Brazil,2000,16791
Brazil,1999,16670
Brazil,1998,17183
Brazil,1997,14988
Brazil,1996,13473
Brazil,1995,11756
Brazil,1994,11909
Brazil,1993,11700
Brazil,1992,12034
Brazil,1991,11386
Brazil,1990,11937
Brunei Darussalam,2014,72
Brunei Darussalam,2013,80
Brunei Darussalam,2012,66
Brunei Darussalam,2011,98
Brunei Darussalam,2010,91
Brunei Darussalam,2009,84
Brunei Darussalam,2008,91
Brunei Darussalam,2007,97
Brunei Darussalam,2006,103
Brunei Darussalam,2005,92
Brunei Darussalam,2004,89
Brunei Darussalam,2003,77
Brunei Darussalam,2002,70
Brunei Darussalam,2001,75
Brunei Darussalam,2000,72
Brunei Darussalam,1999,60
Brunei Darussalam,1998,60
Brunei Darussalam,1997,60
Brunei Darussalam,1996,60
Brunei Darussalam,1995,68
Brunei Darussalam,1994,69
Brunei Darussalam,1993,53
Brunei Darussalam,1992,50
Brunei Darussalam,1991,48
Brunei Darussalam,1990,37
Bulgaria,2014,1617
Bulgaria,2013,1640
Bulgaria,2012,1488
Bulgaria,2011,1424
Bulgaria,2010,1422
Bulgaria,2009,1536
Bulgaria,2008,1596
Bulgaria,2007,1550
Bulgaria,2006,1512
Bulgaria,2005,1230
Bulgaria,2004,965
Bulgaria,2003,718
Bulgaria,2002,1203
Bulgaria,2001,1095
Bulgaria,2000,1127
Bulgaria,1999,1269
Bulgaria,1998,1327
Bulgaria,1997,1477
Bulgaria,1996,1735
Bulgaria,1995,2056
Bulgaria,1994,2268
Bulgaria,1993,2087
Bulgaria,1992,831
Bulgaria,1991,1812
Bulgaria,1990,2478
Cameroon,2014,402
Cameroon,2013,379
Cameroon,2012,359
Cameroon,2011,343
Cameroon,2010,329
Cameroon,2009,259
Cameroon,2008,354
Cameroon,2007,364
Cameroon,2006,354
Cameroon,2005,341
Cameroon,2004,388
Cameroon,2003,384
Cameroon,2002,317
Cameroon,2001,358
Cameroon,2000,397
Cameroon,1999,342
Cameroon,1998,491
Cameroon,1997,468
Cameroon,1996,385
Cameroon,1995,345
Cameroon,1994,380
Cameroon,1993,290
Cameroon,1992,285
Cameroon,1991,225
Cameroon,1990,180
Canada,2014,6175
Canada,2013,6751
Canada,2012,7292
Canada,2011,6630
Canada,2010,6719
Canada,2009,6366
Canada,2008,7870
Canada,2007,8407
Canada,2006,7763
Canada,2005,8263
Canada,2004,8724
Canada,2003,7989
Canada,2002,6879
Canada,2001,7319
